Indicador;Sexo;Mes;L;M;S
peso;M;25;-0.0189;12.3506;0.11485
peso;M;26;-0.0239;12.5442;0.11544
peso;M;27;-0.0289;12.7413;0.11604
peso;M;28;-0.0337;12.9288;0.11663
peso;M;29;-0.0385;13.1188;0.11723
peso;M;30;-0.0431;13.2993;0.11781
peso;M;31;-0.0477;13.4824;0.1184
peso;M;32;-0.052;13.6567;0.11896
peso;M;33;-0.0563;13.8285;0.11952
peso;M;34;-0.0607;14.0038;0.12008
peso;M;35;-0.0648;14.1719;0.12062
peso;M;36;-0.0689;14.3443;0.12116
peso;M;37;-0.0729;14.5102;0.12168
peso;M;38;-0.0769;14.6811;0.12221
peso;M;39;-0.0808;14.8462;0.12271
peso;M;40;-0.0846;15.0167;0.12323
peso;M;41;-0.0883;15.1816;0.12373
peso;M;42;-0.092;15.3465;0.12424
peso;M;43;-0.0957;15.5168;0.12478
peso;M;44;-0.0992;15.6815;0.12531
peso;M;45;-0.1028;15.8514;0.12587
peso;M;46;-0.1063;16.0156;0.12642
peso;M;47;-0.1098;16.1851;0.12701
peso;M;48;-0.1131;16.3489;0.12759
peso;M;49;-0.1164;16.5126;0.12818
peso;M;50;-0.1198;16.6818;0.12881
peso;M;51;-0.123;16.8454;0.12942
peso;M;52;-0.1263;17.0145;0.13006
peso;M;53;-0.1294;17.1782;0.13068
peso;M;54;-0.1326;17.3473;0.13133
peso;M;55;-0.1356;17.5107;0.13196
peso;M;56;-0.1388;17.6795;0.13262
peso;M;57;-0.1417;17.8425;0.13325
peso;M;58;-0.1447;18.0053;0.13389
peso;M;59;-0.1477;18.1732;0.13454
peso;M;60;-0.1506;18.3352;0.13517
peso;F;0;0.3809;3.2322;0.14171
peso;F;1;0.1727;4.1716;0.13738
peso;F;2;0.0959;5.1315;0.12998
peso;F;3;0.0407;5.8393;0.12622
peso;F;4;-0.0053;6.428;0.12401
peso;F;5;-0.0428;6.8959;0.12274
peso;F;6;-0.0759;7.3016;0.12204
peso;F;7;-0.1039;7.6416;0.12178
peso;F;8;-0.1292;7.9534;0.12181
peso;F;9;-0.1507;8.2259;0.12199
peso;F;10;-0.1698;8.4769;0.12222
peso;F;11;-0.1873;8.7207;0.12247
peso;F;12;-0.2022;8.9462;0.12267
peso;F;13;-0.216;9.1722;0.12283
peso;F;14;-0.2277;9.3861;0.12294
peso;F;15;-0.2385;9.6038;0.12299
peso;F;16;-0.2478;9.8124;0.12303
peso;F;17;-0.2561;10.0196;0.12305
peso;F;18;-0.2637;10.2324;0.12309
peso;F;19;-0.2702;10.4372;0.12315
peso;F;20;-0.2763;10.6481;0.12324
peso;F;21;-0.2814;10.8521;0.12335
peso;F;22;-0.2862;11.0633;0.12351
peso;F;23;-0.2903;11.2684;0.12369
peso;F;24;-0.2942;11.4809;0.1239
peso;F;25;-0.2975;11.6868;0.12414
peso;F;26;-0.3005;11.8922;0.12441
peso;F;27;-0.3033;12.1028;0.12472
peso;F;28;-0.3057;12.3042;0.12506
peso;F;29;-0.308;12.5093;0.12545
peso;F;30;-0.3101;12.7047;0.12587
peso;F;31;-0.312;12.9033;0.12634
peso;F;32;-0.3138;13.093;0.12683
peso;F;33;-0.3155;13.2809;0.12736
peso;F;34;-0.3171;13.4739;0.12794
peso;F;35;-0.3186;13.6599;0.12854
peso;F;36;-0.3201;13.8518;0.1292
peso;F;37;-0.3216;14.0373;0.12987
peso;F;38;-0.323;14.2288;0.1306
peso;F;39;-0.3243;14.4136;0.13134
peso;F;40;-0.3257;14.6041;0.13214
peso;F;41;-0.327;14.7877;0.13294
peso;F;42;-0.3283;14.9704;0.13375
peso;F;43;-0.3296;15.1584;0.13461
peso;F;44;-0.3309;15.3395;0.13544
peso;F;45;-0.3322;15.5259;0.13631
peso;F;46;-0.3335;15.7056;0.13715
peso;F;47;-0.3348;15.8908;0.13801
peso;F;48;-0.3361;16.0697;0.13884
peso;F;49;-0.3374;16.2485;0.13967
peso;F;50;-0.3387;16.433;0.14051
peso;F;51;-0.34;16.6114;0.14132
peso;F;52;-0.3414;16.7957;0.14214
peso;F;53;-0.3427;16.9737;0.14292
peso;F;54;-0.344;17.1573;0.14372
peso;F;55;-0.3453;17.3344;0.14448
peso;F;56;-0.3467;17.5166;0.14526
peso;F;57;-0.3479;17.692;0.146
peso;F;58;-0.3492;17.8664;0.14674
peso;F;59;-0.3505;18.0456;0.14749
peso;F;60;-0.3518;18.2179;0.14821
altura;M;61;1.0;110.2647;0.04164
altura;M;62;1.0;110.8006;0.04172
altura;M;63;1.0;111.3338;0.0418
altura;M;64;1.0;111.8636;0.04187
altura;M;65;1.0;112.3895;0.04195
altura;M;66;1.0;112.911;0.04203
altura;M;67;1.0;113.428;0.04211
altura;M;68;1.0;113.941;0.04218
altura;M;69;1.0;114.45;0.04226
altura;M;70;1.0;114.9547;0.04234
altura;M;71;1.0;115.4549;0.04241
altura;M;72;1.0;115.9509;0.04249
altura;M;73;1.0;116.4432;0.04257
altura;M;74;1.0;116.9325;0.04264
altura;M;75;1.0;117.4196;0.04272
altura;M;76;1.0;117.9046;0.0428
altura;M;77;1.0;118.388;0.04287
altura;M;78;1.0;118.87;0.04295
altura;M;79;1.0;119.3508;0.04303
altura;M;80;1.0;119.8303;0.04311
altura;M;81;1.0;120.3085;0.04318
altura;M;82;1.0;120.7853;0.04326
altura;M;83;1.0;121.2604;0.04334
altura;M;84;1.0;121.7338;0.04342
altura;M;85;1.0;122.2053;0.0435
altura;M;86;1.0;122.675;0.04358
altura;M;87;1.0;123.1429;0.04366
altura;M;88;1.0;123.6092;0.04374
altura;M;89;1.0;124.0736;0.04382
altura;M;90;1.0;124.5361;0.0439
altura;M;91;1.0;124.9964;0.04398
altura;M;92;1.0;125.4545;0.04406
altura;M;93;1.0;125.9104;0.04414
altura;M;94;1.0;126.364;0.04422
altura;M;95;1.0;126.8156;0.0443
altura;M;96;1.0;127.2651;0.04438
altura;M;97;1.0;127.7129;0.04446
altura;M;98;1.0;128.159;0.04454
altura;M;99;1.0;128.6034;0.04462
altura;M;100;1.0;129.0466;0.0447
altura;M;101;1.0;129.4887;0.04478
altura;M;102;1.0;129.93;0.04487
altura;M;103;1.0;130.3705;0.04495
altura;M;104;1.0;130.8103;0.04503
altura;M;105;1.0;131.2495;0.04511
altura;M;106;1.0;131.6884;0.04519
altura;M;107;1.0;132.1269;0.04527
altura;M;108;1.0;132.5652;0.04535
altura;M;109;1.0;133.0031;0.04543
altura;M;110;1.0;133.4404;0.04551
altura;M;111;1.0;133.877;0.04559
altura;M;112;1.0;134.313;0.04566
altura;M;113;1.0;134.7483;0.04574
altura;M;114;1.0;135.1829;0.04582
altura;M;115;1.0;135.6168;0.04589
altura;M;116;1.0;136.0501;0.04597
altura;M;117;1.0;136.4829;0.04604
altura;M;118;1.0;136.9153;0.04612
altura;M;119;1.0;137.3474;0.04619
altura;M;120;1.0;137.7795;0.04626
altura;M;121;1.0;138.2119;0.04633
altura;M;122;1.0;138.6452;0.0464
altura;M;123;1.0;139.0797;0.04647
altura;M;124;1.0;139.5158;0.04654
altura;M;125;1.0;139.954;0.04661
altura;M;126;1.0;140.3948;0.04667
altura;M;127;1.0;140.8387;0.04674
altura;M;128;1.0;141.2859;0.0468
altura;M;129;1.0;141.7368;0.04686
altura;M;130;1.0;142.1916;0.04692
altura;M;131;1.0;142.6501;0.04698
altura;M;132;1.0;143.1126;0.04703
altura;M;133;1.0;143.5795;0.04709
altura;M;134;1.0;144.0511;0.04714
altura;M;135;1.0;144.5276;0.04719
altura;M;136;1.0;145.0093;0.04723
altura;M;137;1.0;145.4964;0.04728
altura;M;138;1.0;145.9891;0.04732
altura;M;139;1.0;146.4878;0.04736
altura;M;140;1.0;146.9927;0.0474
altura;M;141;1.0;147.5041;0.04744
altura;M;142;1.0;148.0224;0.04747
altura;M;143;1.0;148.5478;0.0475
altura;M;144;1.0;149.0807;0.04753
altura;M;145;1.0;149.6212;0.04755
altura;M;146;1.0;150.1694;0.04758
altura;M;147;1.0;150.7256;0.04759
altura;M;148;1.0;151.2899;0.04761
altura;M;149;1.0;151.8623;0.04762
altura;M;150;1.0;152.4425;0.04763
altura;M;151;1.0;153.0298;0.04763
altura;M;152;1.0;153.6234;0.04764
altura;M;153;1.0;154.2223;0.04763
altura;M;154;1.0;154.8258;0.04763
altura;M;155;1.0;155.4329;0.04762
altura;M;156;1.0;156.0426;0.0476
altura;M;157;1.0;156.6539;0.04758
altura;M;158;1.0;157.266;0.04756
altura;M;159;1.0;157.8775;0.04754
altura;M;160;1.0;158.4871;0.04751
altura;M;161;1.0;159.0937;0.04747
altura;M;162;1.0;159.6962;0.04744
altura;M;163;1.0;160.2939;0.0474
altura;M;164;1.0;160.8861;0.04735
altura;M;165;1.0;161.472;0.0473
altura;M;166;1.0;162.0505;0.04725
altura;M;167;1.0;162.6207;0.0472
altura;M;168;1.0;163.1816;0.04714
altura;M;169;1.0;163.7321;0.04707
altura;M;170;1.0;164.2717;0.04701
altura;M;171;1.0;164.7994;0.04694
altura;M;172;1.0;165.3145;0.04687
altura;M;173;1.0;165.8165;0.04679
altura;M;174;1.0;166.305;0.04671
altura;M;175;1.0;166.7799;0.04663
altura;M;176;1.0;167.2415;0.04655
altura;M;177;1.0;167.6899;0.04646
altura;M;178;1.0;168.1255;0.04637
altura;M;179;1.0;168.5482;0.04628
altura;M;180;1.0;168.958;0.04619
altura;M;181;1.0;169.3549;0.04609
altura;M;182;1.0;169.7389;0.04599
altura;M;183;1.0;170.1099;0.04589
altura;M;184;1.0;170.468;0.04579
altura;M;185;1.0;170.8136;0.04569
altura;M;186;1.0;171.1468;0.04559
altura;M;187;1.0;171.468;0.04548
altura;M;188;1.0;171.7773;0.04538
altura;M;189;1.0;172.0748;0.04527
altura;M;190;1.0;172.3606;0.04516
altura;M;191;1.0;172.6345;0.04506
altura;M;192;1.0;172.8967;0.04495
altura;M;193;1.0;173.147;0.04484
altura;M;194;1.0;173.3856;0.04473
altura;M;195;1.0;173.6126;0.04462
altura;M;196;1.0;173.828;0.04451
altura;M;197;1.0;174.0321;0.0444
altura;M;198;1.0;174.2251;0.04429
altura;M;199;1.0;174.4071;0.04418
altura;M;200;1.0;174.5784;0.04407
altura;M;201;1.0;174.7392;0.04396
altura;M;202;1.0;174.8896;0.04385
altura;M;203;1.0;175.0301;0.04375
altura;M;204;1.0;175.1609;0.04364
altura;M;205;1.0;175.2824;0.04353
altura;M;206;1.0;175.3951;0.04343
altura;M;207;1.0;175.4995;0.04332
